MentionID,Portion,Player,MentionTeam
1,1,Weber,BUF
2,1,Ristolainen,BUF
3,1,Brian.Gionta,BUF
4,1,Kinkaid,N.J
5,1,Brian.Gionta,BUF
6,1,Brian.Gionta,BUF
7,1,Adam.Larsson,N.J
8,1,Ristolainen,BUF
9,1,Greene,N.J
10,1,Stephen.Gionta,N.J
11,2,Tootoo,N.J
12,2,Strachan,BUF
13,2,Havlat,N.J
14,2,Zajac,N.J
15,2,Hodgson,BUF
16,2,Deslauriers,BUF
17,2,Hodgson,BUF
18,2,Henrique,N.J
19,2,Grigorenko,BUF
20,2,Deslauriers,BUF
21,2,Grigorenko,BUF
22,2,Grigorenko,BUF
23,2,Deslauriers,BUF
24,2,Fraser,N.J
25,2,Zadorov,BUF
26,2,Zadorov,BUF
27,2,Dalpe,BUF
28,2,Dalpe,BUF
29,2,Dalpe,BUF
30,2,Ellis,BUF
31,2,Strachan,BUF
32,2,Harrold,N.J
33,2,Benoit,BUF
34,2,Harrold,N.J
35,2,Lindback,BUF
36,2,Benoit,BUF
37,2,Zubrus,N.J
38,2,Stephen.Gionta,N.J
39,2,Foligno,BUF
40,2,Kinkaid,N.J
41,2,Severson,N.J
42,3,Ristolainen,BUF
43,3,Moulson,BUF
44,3,Greene,N.J
45,3,Lindback,BUF
46,3,Ristolainen,BUF
47,3,Johan.Larsson,BUF
48,3,Ristolainen,BUF
49,3,Ristolainen,BUF
50,3,Ennis,BUF
51,3,Ristolainen,BUF
52,3,Ennis,BUF
53,3,Ennis,BUF
54,3,Stephen.Gionta,N.J
55,3,Brian.Gionta,BUF
56,3,Ristolainen,BUF
57,3,Benoit,BUF
58,3,Benoit,BUF
59,3,Benoit,BUF
60,3,Hodgson,BUF
61,3,Zubrus,N.J
62,3,Meszaros,BUF
63,3,Varone,BUF
64,3,Meszaros,BUF
65,3,Varone,BUF
66,3,Varone,BUF
67,3,Meszaros,BUF
68,3,Havlat,N.J
69,3,Dalpe,BUF
70,3,Dalpe,BUF
71,3,Greene,N.J
72,3,Merrill,N.J
73,3,Zadorov,BUF
74,3,Zadorov,BUF
75,3,Merrill,N.J
76,3,Dalpe,BUF
77,3,Dalpe,BUF
78,3,Severson,N.J
79,3,Merrill,N.J
80,3,Weber,BUF
81,3,Johan.Larsson,BUF
82,3,Moulson,BUF
83,3,Ruutu,N.J
84,3,Ruutu,N.J
85,3,Ristolainen,BUF
86,3,Ruutu,N.J
87,3,Ennis,BUF
88,3,Ennis,BUF
89,3,Ennis,BUF
90,3,Moulson,BUF
91,3,Kinkaid,N.J
92,3,Johan.Larsson,BUF
93,4,Strachan,BUF
94,4,Strachan,BUF
95,4,Lindback,BUF
96,4,Benoit,BUF
97,4,Strachan,BUF
98,4,Hodgson,BUF
99,4,Deslauriers,BUF
100,5,Varone,BUF
101,5,Stephen.Gionta,N.J
102,5,Zadorov,BUF
103,5,Varone,BUF
104,5,Meszaros,BUF
105,5,Meszaros,BUF
106,5,Varone,BUF
107,5,Foligno,BUF
108,5,Ryder,N.J
109,5,Zubrus,N.J
110,5,Zubrus,N.J
111,5,Merrill,N.J
112,5,Stephen.Gionta,N.J
113,5,Brian.Gionta,BUF
114,5,Foligno,BUF
115,5,Ryder,N.J
116,5,Johan.Larsson,BUF
117,5,Moulson,BUF
118,5,Severson,N.J
119,5,Gomez,N.J
120,5,Ennis,BUF
121,5,Johan.Larsson,BUF
122,5,Adam.Larsson,N.J
123,5,Gomez,N.J
124,5,Henrique,N.J
125,5,Gomez,N.J
126,5,Bernier,N.J
127,5,Weber,BUF
128,5,Ristolainen,BUF
129,5,Gomez,N.J
130,5,Ennis,BUF
131,5,Ennis,BUF
132,5,Adam.Larsson,N.J
133,5,Greene,N.J
134,5,Deslauriers,BUF
135,5,Greene,N.J
136,5,Deslauriers,BUF
137,5,Benoit,BUF
138,5,Benoit,BUF
139,5,Strachan,BUF
140,5,Benoit,BUF
141,5,Deslauriers,BUF
142,5,Gelinas,N.J
143,5,Zajac,N.J
144,6,Brian.Gionta,BUF
145,7,Ristolainen,BUF
146,7,Weber,BUF
147,7,Ristolainen,BUF
148,7,Ristolainen,BUF
149,7,Brian.Gionta,BUF
150,7,Zubrus,N.J
151,7,Ryder,N.J
