Player,Team,Portion,MentionCount
Havlat,N.J,2,1
Havlat,N.J,3,1
Harrold,N.J,8,1
Harrold,N.J,2,2
Ellis,BUF,2,1
Zubrus,N.J,9,1
Zubrus,N.J,2,1
Zubrus,N.J,3,1
Zubrus,N.J,5,2
Zubrus,N.J,7,1
Josefson,N.J,9,1
Josefson,N.J,11,1
Weber,BUF,1,1
Weber,BUF,10,2
Weber,BUF,3,1
Weber,BUF,5,1
Weber,BUF,7,2
Foligno,BUF,11,1
Foligno,BUF,9,3
Foligno,BUF,2,1
Foligno,BUF,10,1
Foligno,BUF,5,2
Benoit,BUF,9,3
Benoit,BUF,2,2
Benoit,BUF,3,3
Benoit,BUF,4,1
Benoit,BUF,5,3
Adam.Larsson,N.J,1,1
Adam.Larsson,N.J,10,1
Adam.Larsson,N.J,5,2
Adam.Larsson,N.J,7,1
Deslauriers,BUF,8,1
Deslauriers,BUF,9,1
Deslauriers,BUF,2,3
Deslauriers,BUF,4,1
Deslauriers,BUF,5,3
Grigorenko,BUF,8,1
Grigorenko,BUF,9,2
Grigorenko,BUF,2,3
Severson,N.J,9,1
Severson,N.J,2,1
Severson,N.J,3,1
Severson,N.J,5,1
Ruutu,N.J,8,1
Ruutu,N.J,3,3
Dalpe,BUF,8,2
Dalpe,BUF,2,3
Dalpe,BUF,3,4
Dalpe,BUF,10,1
Brian.Gionta,BUF,1,3
Brian.Gionta,BUF,3,1
Brian.Gionta,BUF,5,1
Brian.Gionta,BUF,6,1
Brian.Gionta,BUF,7,1
Brian.Gionta,BUF,8,1
Brian.Gionta,BUF,10,2
Kinkaid,N.J,1,1
Kinkaid,N.J,2,1
Kinkaid,N.J,3,1
Kinkaid,N.J,9,1
Stephen.Gionta,N.J,1,1
Stephen.Gionta,N.J,2,1
Stephen.Gionta,N.J,3,1
Stephen.Gionta,N.J,5,2
Stephen.Gionta,N.J,7,2
Stephen.Gionta,N.J,9,1
Bernier,N.J,10,1
Bernier,N.J,5,1
Bernier,N.J,7,1
Hodgson,BUF,8,1
Hodgson,BUF,11,2
Hodgson,BUF,2,2
Hodgson,BUF,3,1
Hodgson,BUF,4,1
Moulson,BUF,9,1
Moulson,BUF,10,3
Moulson,BUF,3,3
Moulson,BUF,5,1
Moulson,BUF,7,2
Ryder,N.J,5,2
Ryder,N.J,7,3
Meszaros,BUF,11,1
Meszaros,BUF,3,3
Meszaros,BUF,5,2
Greene,N.J,1,1
Greene,N.J,3,2
Greene,N.J,5,2
Greene,N.J,7,1
Greene,N.J,8,1
Greene,N.J,9,1
Greene,N.J,10,1
Tootoo,N.J,9,2
Tootoo,N.J,2,1
Zajac,N.J,9,1
Zajac,N.J,2,1
Zajac,N.J,10,1
Zajac,N.J,5,1
Ennis,BUF,9,3
Ennis,BUF,10,2
Ennis,BUF,3,6
Ennis,BUF,5,3
Ennis,BUF,7,1
Henrique,N.J,9,1
Henrique,N.J,2,1
Henrique,N.J,10,2
Henrique,N.J,5,1
Henrique,N.J,7,1
Strachan,BUF,8,1
Strachan,BUF,2,2
Strachan,BUF,10,2
Strachan,BUF,4,3
Strachan,BUF,5,1
Varone,BUF,11,2
Varone,BUF,10,3
Varone,BUF,3,3
Varone,BUF,5,3
Varone,BUF,7,1
Ristolainen,BUF,1,2
Ristolainen,BUF,10,2
Ristolainen,BUF,3,7
Ristolainen,BUF,5,1
Ristolainen,BUF,7,5
Merrill,N.J,8,2
Merrill,N.J,10,1
Merrill,N.J,3,3
Merrill,N.J,5,1
Lindback,BUF,2,1
Lindback,BUF,3,1
Lindback,BUF,4,1
Lindback,BUF,8,2
Lindback,BUF,9,1
Lindback,BUF,10,1
Gelinas,N.J,9,2
Gelinas,N.J,5,1
Gelinas,N.J,7,1
Fraser,N.J,2,1
D'Amigo,BUF,10,1
Johan.Larsson,BUF,9,2
Johan.Larsson,BUF,10,1
Johan.Larsson,BUF,3,3
Johan.Larsson,BUF,5,2
Johan.Larsson,BUF,7,1
Zadorov,BUF,8,4
Zadorov,BUF,9,1
Zadorov,BUF,2,2
Zadorov,BUF,3,2
Zadorov,BUF,5,1
Gomez,N.J,9,2
Gomez,N.J,10,3
Gomez,N.J,5,4
