Identifier,Team,Name,First,Last,Pos,TOI,G,A1,A2,P,iHSC,iSC,iCF,C+/-,F+/-,G+/-,CF,FF,ZSO,ZSD,AB,FO_W,FO_L,HIT,HIT-,PN,PN-
Benoit,BUF,Andre.Benoit,Andre,Benoit,D,6.2,0,0,0,0,0,0,0,0,2,0,5,4,1,1,1,0,0,0,0,0,0
Dalpe,BUF,Zac.Dalpe,Zac,Dalpe,F,3.9,0,0,0,0,0,1,1,3,4,0,5,4,0,0,2,0,0,0,0,0,0
D'Amigo,BUF,Jerry.D'Amigo,Jerry,D'Amigo,F,2.8,0,0,0,0,0,2,2,1,3,0,3,3,1,0,0,0,0,0,0,0,0
Deslauriers,BUF,Nicolas.Deslauriers,Nicolas,Deslauriers,F,2.9,0,0,0,0,0,0,1,1,0,0,2,1,1,0,0,0,0,0,0,0,0
Ellis,BUF,Matt.Ellis,Matt,Ellis,F,2.7,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0
Ennis,BUF,Tyler.Ennis,Tyler,Ennis,F,5.9,0,0,0,0,0,1,3,3,1,0,6,3,1,1,0,0,0,0,0,0,1
Foligno,BUF,Marcus.Foligno,Marcus,Foligno,F,6.1,0,0,0,0,1,1,2,-2,-1,0,4,3,3,2,0,0,0,1,0,0,1
Brian.Gionta,BUF,Brian.Gionta,Brian,Gionta,F,8.5,0,0,0,0,1,2,3,-4,-2,0,6,4,3,3,0,0,0,0,0,0,0
Grigorenko,BUF,Mikhail.Grigorenko,Mikhail,Grigorenko,F,2.7,0,0,0,0,0,0,0,2,0,0,3,1,1,0,0,1,1,0,0,0,0
Hodgson,BUF,Cody.Hodgson,Cody,Hodgson,F,5.1,0,0,0,0,0,0,0,1,0,0,3,2,1,0,0,0,0,0,0,0,0
Johan.Larsson,BUF,Johan.Larsson,Johan,Larsson,F,6.4,0,0,0,0,0,1,1,-1,-1,0,4,2,1,2,1,0,3,1,0,0,0
Lindback,BUF,Anders.Lindback,Anders,Lindback,G,20,0,0,0,0,0,0,0,0,2,0,16,11,5,4,0,0,0,0,0,0,0
Meszaros,BUF,Andrej.Meszaros,Andrej,Meszaros,D,6.6,0,0,0,0,0,0,1,3,1,0,6,3,3,0,1,0,0,1,1,0,0
Moulson,BUF,Matt.Moulson,Matt,Moulson,F,7.3,0,0,0,0,0,0,0,-1,0,0,6,4,1,2,0,0,0,0,0,0,0
Ristolainen,BUF,Rasmus.Ristolainen,Rasmus,Ristolainen,D,8.6,0,0,0,0,0,1,1,-3,-1,0,6,5,2,3,1,0,0,0,0,0,0
Strachan,BUF,Tyson.Strachan,Tyson,Strachan,D,4.7,0,0,0,0,0,0,0,0,2,0,4,3,0,1,0,0,0,0,0,0,0
Varone,BUF,Philip.Varone,Philip,Varone,F,7,0,0,0,0,0,0,0,-2,0,0,5,4,3,2,1,3,4,2,0,0,0
Weber,BUF,Mike.Weber,Mike,Weber,D,5.7,0,0,0,0,0,0,0,-4,-2,0,3,3,1,3,0,0,0,1,0,0,0
Zadorov,BUF,Nikita.Zadorov,Nikita,Zadorov,D,6.7,0,0,0,0,1,1,1,3,2,0,7,4,2,0,0,0,0,1,0,0,0
Bernier,N.J,Steve.Bernier,Steve,Bernier,F,5.7,0,0,0,0,0,0,0,1,0,0,5,2,2,0,0,0,0,0,1,0,0
Fraser,N.J,Mark.Fraser,Mark,Fraser,D,6.2,0,0,0,0,0,0,1,0,2,0,3,3,3,1,2,0,0,0,1,0,0
Gelinas,N.J,Eric.Gelinas,Eric,Gelinas,D,4.7,0,0,0,0,0,0,1,2,4,0,4,4,3,0,0,0,0,0,1,0,0
Stephen.Gionta,N.J,Stephen.Gionta,Stephen,Gionta,F,4.2,0,0,0,0,0,0,2,3,2,0,6,3,0,2,0,2,1,0,1,0,0
Gomez,N.J,Scott.Gomez,Scott,Gomez,F,5.9,0,0,0,0,0,1,1,1,0,0,5,2,2,0,0,1,1,0,0,0,0
Greene,N.J,Andrew.Greene,Andrew,Greene,D,9,0,0,0,0,0,0,1,0,0,0,7,5,0,2,1,0,0,0,0,1,0
Harrold,N.J,Peter.Harrold,Peter,Harrold,D,3.8,0,0,0,0,0,0,1,-2,-2,0,1,1,1,1,0,0,0,0,0,0,0
Havlat,N.J,Martin.Havlat,Martin,Havlat,F,6.1,0,0,0,0,0,1,1,-3,-3,0,4,3,1,1,1,0,0,0,0,0,0
Henrique,N.J,Adam.Henrique,Adam,Henrique,F,5.6,0,0,0,0,0,2,2,1,0,0,5,2,2,1,0,0,0,0,0,0,0
Josefson,N.J,Jacob.Josefson,Jacob,Josefson,F,4.3,0,0,0,0,0,0,0,-3,-2,0,1,1,1,2,0,2,0,0,0,0,0
Kinkaid,N.J,Keith.Kinkaid,Keith,Kinkaid,G,20,0,0,0,0,0,0,0,0,-2,0,16,9,4,5,0,0,0,0,0,0,0
Adam.Larsson,N.J,Adam.Larsson,Adam,Larsson,D,9.2,0,0,0,0,0,0,1,-1,-1,0,6,4,0,3,1,0,0,1,2,0,0
Merrill,N.J,Jon.Merrill,Jon,Merrill,D,5.6,0,0,0,0,0,1,1,-1,-5,0,6,1,1,2,0,0,0,0,0,0,0
Ruutu,N.J,Tuomo.Ruutu,Tuomo,Ruutu,F,3.8,0,0,0,0,0,0,0,-1,-1,0,1,1,1,1,0,0,0,0,0,0,0
